name	verified_gender	title	honorific_prefix	given_name	family_name	title_in_lords	link	life_span	birth	death	constituency	service_span	commons_service_beginning	commons_service_ending	lords_service_beginning	lords_service_ending	entire_service_beginning	entire_service_ending	house	commons_service_span
Hubbard-Miles, Peter (Mr)	m	Mr	Mr	Peter	Hubbard-Miles	unknown	mr-peter-hubbard-miles	May  9, 1927 -	1927	unknown	['Bridgend']	[' June  9, 1983 - June 11, 1987']	1983	1987	unknown	unknown	1983	1987	commons	4
Huckfield, Leslie (Mr)	m	Mr	Mr	Leslie	Huckfield	unknown	mr-leslie-huckfield	April  7, 1942 -	1942	unknown	['Nuneaton']	[' March  9, 1967 - June  9, 1983']	1967	1983	unknown	unknown	1967	1983	commons	16
Huddleston, John (Sir)	m	Sir	Sir	John	Huddleston	unknown	sir-john-huddleston	1817 - 1890	1817	1890	['Canterbury', 'Norwich']	[' July 11, 1865 - November 17, 1868', ' January 31, 1874 - 1874']	1865	1874	unknown	unknown	1865	1874	commons	3
Hudleston, John (Mr)	m	Mr	Mr	John	Hudleston	unknown	mr-john-hudleston	September  2, 1749 - March  6, 1835	1749	1835	['Bridgwater']	[' June 26, 1804 - October 31, 1806']	1804	1806	unknown	unknown	1804	1806	commons	2
Hudson, Austin (Sir)	m	Sir	Sir	Austin	Hudson	unknown	sir-austin-hudson	1897 - November 29, 1956	1897	1956	['Islington East', 'Hackney North', 'Lewisham North']	[' November 15, 1922 - December  6, 1923', ' October 29, 1924 - July  5, 1945', ' February 23, 1950 - November 29, 1956']	1922	1956	unknown	unknown	1922	1956	commons	28
Hudson, George (Mr)	m	Mr	Mr	George	Hudson	unknown	mr-george-hudson	1845 - February 29, 1912	1845	1912	['Hitchin']	[' July  4, 1892 - January 12, 1906']	1892	1906	unknown	unknown	1892	1906	commons	14
Hudson, George (Mr)	m	Mr	Mr	George	Hudson	unknown	mr-george-hudson-1	1800 - 1871	1800	1871	['Sunderland']	[' August 15, 1845 - April 28, 1859']	1845	1859	unknown	unknown	1845	1859	commons	14
Hudson, Harrington (Mr)	m	Mr	Mr	Harrington	Hudson	unknown	mr-harrington-hudson	April 11, 1772 - November 30, 1826	1772	1826	['Helston']	[' June 19, 1818 - March  9, 1820']	1818	1820	unknown	unknown	1818	1820	commons	2
Hudson, James (Mr)	m	Mr	Mr	James	Hudson	unknown	mr-james-hudson	1881 - January 10, 1962	1881	1962	['Huddersfield', 'Ealing West', 'Ealing North']	[' December  6, 1923 - October 27, 1931', ' July  5, 1945 - February 23, 1950', ' February 23, 1950 - May 26, 1955']	1923	1955	unknown	unknown	1923	1955	commons	18
Hudson, Ralph (Mr)	m	Mr	Mr	Ralph	Hudson	unknown	mr-ralph-hudson	1849 - March  5, 1938	1849	1938	['Sunderland']	[' December 14, 1918 - November 15, 1922']	1918	1922	unknown	unknown	1918	1922	commons	4
Hudson, Robert (Mr)	m	Mr	Mr	Robert	Hudson	1st Viscount Hudson 1952 - February  2, 1957	mr-robert-hudson	1886 - February  2, 1957	1886	1957	['Whitehaven', 'Southport']	[' October 29, 1924 - May 30, 1929', ' October 27, 1931 - January  5, 1952']	1924	1952	1952	1957	1924	1957	commons_lords	26
Hudson, Robert (Mr)	m	Mr	Mr	Robert	Hudson	Viscount Hudson February  2, 1957 - August 28, 1963	mr-robert-hudson-1	April 28, 1922 - August 28, 1963	1922	1963	['unknown']	['unknown']	unknown	unknown	1957	1963	1957	1963	lords	unknown
Hudson, Thomas (Mr)	m	Mr	Mr	Thomas	Hudson	unknown	mr-thomas-hudson	1772 - 1852	1772	1852	['Evesham']	[' December 10, 1832 - January  6, 1835']	1832	1835	unknown	unknown	1832	1835	commons	3
Hudson, Walter (Mr)	m	Mr	Mr	Walter	Hudson	unknown	mr-walter-hudson-1	1894 - August 21, 1970	1894	1970	['Kingston upon Hull North']	[' February 23, 1950 - October  8, 1959']	1950	1959	unknown	unknown	1950	1959	commons	9
Hudson, Walter (Mr)	m	Mr	Mr	Walter	Hudson	unknown	mr-walter-hudson	1852 - March 18, 1935	1852	1935	['Newcastle upon Tyne']	[' January 12, 1906 - December 14, 1918']	1906	1918	unknown	unknown	1906	1918	commons	12
Huggins, Ashley (Mr)	m	Mr	Mr	Ashley	Huggins	Viscount Malvern August 28, 1978 - November 11, 1999	mr-ashley-huggins	October 26, 1949 -	1949	unknown	['unknown']	['unknown']	unknown	unknown	1978	1999	1978	1999	lords	unknown
Huggins, Godfrey (Mr)	m	Mr	Mr	Godfrey	Huggins	Viscount Malvern March 18, 1955 - May  8, 1971	mr-godfrey-huggins	 - May  8, 1971	unknown	1971	['unknown']	['unknown']	unknown	unknown	1955	1971	1955	1971	lords	unknown
Hughan, Thomas (Mr)	m	Mr	Mr	Thomas	Hughan	unknown	mr-thomas-hughan	1760 - October 29, 1811	1760	1811	['East Retford', 'Dundalk']	[' October 29, 1806 - May  6, 1807', ' July 27, 1808 - February 21, 1812']	1806	1812	unknown	unknown	1806	1812	commons	5
Hughes, Beverley (Ms)	f	Ms	Ms	Beverley	Hughes	unknown	ms-beverley-hughes	March 30, 1950 -	1950	unknown	['Stretford and Urmston']	[' May  1, 1997 - ?']	1997	unknown	unknown	unknown	1997	1997	commons	unknown
Hughes, Cledwyn (Mr)	m	Mr	Mr	Cledwyn	Hughes	Baron Cledwyn of Penrhos 1979 - February 22, 2001	mr-cledwyn-hughes	September 14, 1916 - February 22, 2001	1916	2001	['Anglesey']	[' October 25, 1951 - May  3, 1979']	1951	1979	1979	2001	1951	2001	commons_lords	28
Hughes, Collingwood (Mr)	m	Mr	Mr	Collingwood	Hughes	unknown	mr-collingwood-hughes	1872 - March 25, 1963	1872	1963	['Camberwell Peckham']	[' November 15, 1922 - October 29, 1924']	1922	1924	unknown	unknown	1922	1924	commons	2
Hughes, Edwin (Mr)	m	Mr	Mr	Edwin	Hughes	unknown	mr-edwin-hughes	1832 - September 15, 1904	1832	1904	['Woolwich']	[' November 24, 1885 - April 18, 1902']	1885	1902	unknown	unknown	1885	1902	commons	17
Hughes, Emrys (Mr)	m	Mr	Mr	Emrys	Hughes	unknown	mr-emrys-hughes	1894 - October 18, 1969	1894	1969	['South Ayrshire']	[' February  7, 1946 - October 18, 1969']	1946	1969	unknown	unknown	1946	1969	commons	23
Hughes, Hector (Mr)	m	Mr	Mr	Hector	Hughes	unknown	mr-hector-hughes	1887 - June 23, 1970	1887	1970	['Aberdeen North']	[' July  5, 1945 - June 18, 1970']	1945	1970	unknown	unknown	1945	1970	commons	25
Hughes, Henry (Mr)	m	Mr	Mr	Henry	Hughes	unknown	mr-henry-hughes	1812 - 1872	1812	1872	['Longford']	[' May 13, 1856 - 1857']	1856	1857	unknown	unknown	1856	1857	commons	1
Hughes, Herbert (Mr)	m	Mr	Mr	Herbert	Hughes	unknown	mr-herbert-hughes	September  7, 1914 - November 15, 1995	1914	1995	['Wolverhampton West']	[' July  5, 1945 - February 23, 1950']	1945	1950	unknown	unknown	1945	1950	commons	5
Hughes, James (Mr)	m	Mr	Mr	James	Hughes	unknown	mr-james-hughes	 - 1845	unknown	1845	['Grantham', 'Grantham']	[' March 10, 1820 - July 21, 1820', ' May  5, 1831 - December 12, 1832']	1820	1832	unknown	unknown	1820	1832	commons	1
Hughes, John (Mr)	m	Mr	Mr	John	Hughes	unknown	mr-john-hughes	May 29, 1925 -	1925	unknown	['Coventry North East']	[' June 11, 1987 - April  9, 1992']	1987	1992	unknown	unknown	1987	1992	commons	5
Hughes, Kevin (Mr)	m	Mr	Mr	Kevin	Hughes	unknown	mr-kevin-hughes	December 15, 1952 -	1952	unknown	['Doncaster North']	[' April  9, 1992 - May  5, 2005']	1992	2005	unknown	unknown	1992	2005	commons	13
Hughes, Robert (Mr)	m	Mr	Mr	Robert	Hughes	Baron Hughes of Woodside 1997 -	mr-robert-hughes-1	January  3, 1932 -	1932	unknown	['Aberdeen North']	[' June 18, 1970 - May  1, 1997']	1970	1997	1997	unknown	1970	1997	commons_lords	27
Hughes, Robert (Mr)	m	Mr	Mr	Robert	Hughes	unknown	mr-robert-hughes	July 14, 1951 -	1951	unknown	['Harrow West']	[' June 11, 1987 - May  1, 1997']	1987	1997	unknown	unknown	1987	1997	commons	10
Hughes, Ronw (Mr)	m	Mr	Mr	Ronw	Hughes	unknown	mr-ronw-hughes	1897 - November  1, 1955	1897	1955	['Carmarthen', 'Islington North']	[' March 26, 1941 - July  5, 1945', ' February 23, 1950 - October 25, 1951']	1941	1951	unknown	unknown	1941	1951	commons	5
Hughes, Roy (Mr)	m	Mr	Mr	Roy	Hughes	Baron Islwyn 1997 - December 19, 2003	mr-roy-hughes	June  9, 1925 - December 19, 2003	1925	2003	['Newport', 'Newport East']	[' March 31, 1966 - June  9, 1983', ' June  9, 1983 - May  1, 1997']	1966	1997	1997	2003	1966	2003	commons_lords	31
Hughes, Sean (Mr)	m	Mr	Mr	Sean	Hughes	unknown	mr-sean-hughes	May  8, 1946 - June 25, 1990	1946	1990	['Knowsley South']	[' June  9, 1983 - June 25, 1990']	1983	1990	unknown	unknown	1983	1990	commons	7
Hughes, Simon (Mr)	m	Mr	Mr	Simon	Hughes	unknown	mr-simon-hughes	May 17, 1951 -	1951	unknown	['Southwark Bermondsey', 'Southwark and Bermondsey', 'Southwark and Bermondsey', 'Southwark North and Bermondsey']	[' February 24, 1983 - June  9, 1983', ' June  9, 1983 - March 19, 1988', ' March 19, 1988 - May  1, 1997', ' May  1, 1997 - ?']	1983	unknown	unknown	unknown	1983	1983	commons	unknown
Hughes, Spencer (Mr)	m	Mr	Mr	Spencer	Hughes	unknown	mr-spencer-hughes	1858 - February 22, 1920	1858	1920	['Stockport', 'Stockport']	[' January 15, 1910 - December 14, 1918', ' December 14, 1918 - February 22, 1920']	1910	1920	unknown	unknown	1910	1920	commons	10
Hughes, Thomas (Mr)	m	Mr	Mr	Thomas	Hughes	unknown	mr-thomas-hughes	1822 - 1896	1822	1896	['Lambeth', 'Frome']	[' July 11, 1865 - November 17, 1868', ' November 17, 1868 - January 31, 1874']	1865	1874	unknown	unknown	1865	1874	commons	9
Hughes, William (Mr)	m	Mr	Mr	William	Hughes	Lord Hughes February  7, 1961 - December 31, 1999	mr-william-hughes-4	January 22, 1911 - December 31, 1999	1911	1999	['unknown']	['unknown']	unknown	unknown	1961	1999	1961	1999	lords	unknown
Hughes, William (Mr)	m	Mr	Mr	William	Hughes	Baron Dinorben September 10, 1831 - February 10, 1852	mr-william-hughes-3	November 10, 1767 - February 10, 1852	1767	1852	['Wallingford']	[' July  5, 1802 - July 25, 1831']	1802	1831	1831	1852	1802	1852	commons_lords	29
Hughes, William (Mr)	m	Mr	Mr	William	Hughes	unknown	mr-william-hughes-1	1792 - 1874	1792	1874	['Oxford', 'Oxford']	[' August  4, 1830 - December 13, 1832', ' January  6, 1835 - July 24, 1837']	1830	1837	unknown	unknown	1830	1837	commons	4
Hughes, William (Mr)	m	Mr	Mr	William	Hughes	unknown	mr-william-hughes	1797 - 1882	1797	1882	['Caernarvon District of Boroughs', 'Caernarvon District of Boroughs']	[' July 24, 1837 - April 28, 1859', ' July 11, 1865 - March  9, 1882']	1837	1882	unknown	unknown	1837	1882	commons	39
Hughes, William (Mr)	m	Mr	Mr	William	Hughes	unknown	mr-william-hughes-2	December 18, 1932 - 1993	1932	1993	['Durham', 'Durham']	[' June 18, 1970 - June  9, 1983', ' June  9, 1983 - June 11, 1987']	1970	1987	unknown	unknown	1970	1987	commons	17
Hughes-Hallett, Francis (Mr)	m	Mr	Mr	Francis	Hughes-Hallett	unknown	mr-francis-hughes-hallett	1838 - 1903	1838	1903	['Rochester']	[' November 24, 1885 - 1889']	1885	1889	unknown	unknown	1885	1889	commons	4
Hughes-Hallett, John (Vice-Admiral)	m	Vice-Admiral	Vice-Admiral	John	Hughes-Hallett	unknown	vice-admiral-john-hughes-hallett	December  1, 1901 - April  5, 1972	1901	1972	['Croydon East', 'Croydon North East']	[' September 30, 1954 - May 26, 1955', ' May 26, 1955 - October 15, 1964']	1954	1964	unknown	unknown	1954	1964	commons	10
Hughes-Young, Michael (Mr)	m	Mr	Mr	Michael	Hughes-Young	Baron St Helens December 31, 1964 - December 27, 1980	mr-michael-hughes-young	1912 - 1980	1912	1980	['Wandsworth Central']	[' May 26, 1955 - October 15, 1964']	1955	1964	1964	1980	1955	1980	commons_lords	9
Hughes-Young, Richard (Mr)	m	Mr	Mr	Richard	Hughes-Young	Lord St Helens December 27, 1980 - November 11, 1999	mr-richard-hughes-young	November  4, 1945 -	1945	unknown	['unknown']	['unknown']	unknown	unknown	1980	1999	1980	1999	lords	unknown
Huhne, Chris (Mr)	m	Mr	Mr	Chris	Huhne	unknown	mr-chris-huhne	July  2, 1954 -	1954	unknown	['Eastleigh']	[' May  5, 2005 - ?']	2005	unknown	unknown	unknown	2005	2005	commons	unknown
Hulbert, Norman (Sir)	m	Sir	Sir	Norman	Hulbert	unknown	sir-norman-hulbert	June  5, 1903 - June  1, 1972	1903	1972	['Stockport', 'Stockport North']	[' November 14, 1935 - February 23, 1950', ' February 23, 1950 - October 15, 1964']	1935	1964	unknown	unknown	1935	1964	commons	29
Hulkes, James (Mr)	m	Mr	Mr	James	Hulkes	unknown	mr-james-hulkes	1770 - January 29, 1821	1770	1821	['Rochester']	[' July  5, 1802 - November  8, 1806']	1802	1806	unknown	unknown	1802	1806	commons	4
Hulse, Charles (Sir)	m	Sir	Sir	Charles	Hulse	unknown	sir-charles-hulse	October 12, 1771 - October 25, 1854	1771	1854	['West Looe', 'West Looe']	[' March 11, 1816 - June 19, 1826', ' April  6, 1827 - December 10, 1832']	1816	1832	unknown	unknown	1816	1832	commons	15
Hulse, Edward (Sir)	m	Sir	Sir	Edward	Hulse	unknown	sir-edward-hulse	1859 - May 29, 1903	1859	1903	['Salisbury']	[' July  1, 1886 - 1897']	1886	1897	unknown	unknown	1886	1897	commons	11
Humberston, Philip (Mr)	m	Mr	Mr	Philip	Humberston	unknown	mr-philip-humberston	1814 - 1891	1814	1891	['Chester']	[' April 28, 1859 - July 11, 1865']	1859	1865	unknown	unknown	1859	1865	commons	6
Humble, Joan (Mrs)	f	Mrs	Mrs	Joan	Humble	unknown	mrs-joan-humble	March  3, 1951 -	1951	unknown	['Blackpool North and Fleetwood']	[' May  1, 1997 - ?']	1997	unknown	unknown	unknown	1997	1997	commons	unknown
Hume, Abraham (Sir)	m	Sir	Sir	Abraham	Hume	unknown	sir-abraham-hume	February 20, 1749 - March 24, 1838	1749	1838	['Hastings']	[' May  5, 1807 - August  4, 1818']	1807	1818	unknown	unknown	1807	1818	commons	11
Hume, George (Sir)	m	Sir	Sir	George	Hume	unknown	sir-george-hume	1866 - September 13, 1946	1866	1946	['Greenwich', 'Greenwich', 'Greenwich']	[' November 15, 1922 - December  6, 1923', ' October 29, 1924 - May 30, 1929', ' October 27, 1931 - July  5, 1945']	1922	1945	unknown	unknown	1922	1945	commons	20
Hume, John (Mr)	m	Mr	Mr	John	Hume	unknown	mr-john-hume	January 18, 1937 -	1937	unknown	['Foyle']	[' June  9, 1983 - May  5, 2005']	1983	2005	unknown	unknown	1983	2005	commons	22
Hume, Joseph (Mr)	m	Mr	Mr	Joseph	Hume	unknown	mr-joseph-hume	1777 - 1855	1777	1855	['Weymouth and Melcombe Regis', 'Aberdeen', 'Middlesex', 'Kilkenny', 'Montrose District of Burghs']	[' January 18, 1812 - October 27, 1812', ' July 13, 1818 - August 23, 1830', ' December 10, 1832 - July 24, 1837', ' July 24, 1837 - June 29, 1841', ' April 16, 1842 - 1855']	1812	1855	unknown	unknown	1812	1855	commons	34
Hume, William (Mr)	m	Mr	Mr	William	Hume	unknown	mr-william-hume	1805 - 1886	1805	1886	['Wicklow']	[' July  7, 1852 - March 31, 1880']	1852	1880	unknown	unknown	1852	1880	commons	28
Hume-Williams, Ellis (Sir)	m	Sir	Sir	Ellis	Hume-Williams	unknown	sir-ellis-hume-williams	1863 - February  4, 1947	1863	1947	['Bassetlaw']	[' January 15, 1910 - May 30, 1929']	1910	1929	unknown	unknown	1910	1929	commons	19
Humphery, John (Mr)	m	Mr	Mr	John	Humphery	unknown	mr-john-humphery	1793 - 1863	1793	1863	['Southwark']	[' December 10, 1832 - July  7, 1852']	1832	1852	unknown	unknown	1832	1852	commons	20
Humphery, William (Mr)	m	Mr	Mr	William	Humphery	unknown	mr-william-humphery	1827 - 1909	1827	1909	['Andover']	[' November 18, 1863 - 1867']	1863	1867	unknown	unknown	1863	1867	commons	4
Humphreys-Owen, Arthur (Mr)	m	Mr	Mr	Arthur	Humphreys-Owen	unknown	mr-arthur-humphreys-owen	1836 - December  9, 1905	1836	1905	['Montgomeryshire']	[' March 29, 1894 - January 12, 1906']	1894	1906	unknown	unknown	1894	1906	commons	12
Hunloke, Henry (Captain)	m	Captain	Captain	Henry	Hunloke	unknown	captain-henry-hunloke	1906 - January 13, 1978	1906	1978	['Derbyshire Western']	[' June  2, 1938 - January 24, 1944']	1938	1944	unknown	unknown	1938	1944	commons	6
Hunt, David (Mr)	m	Mr	Mr	David	Hunt	Baron Hunt 1997 -	mr-david-hunt	May 21, 1942 -	1942	unknown	['Wirral', 'Wirral West']	[' March 11, 1976 - June  9, 1983', ' June  9, 1983 - May  1, 1997']	1976	1997	1997	unknown	1976	1997	commons_lords	21
Hunt, Frederick (Mr)	m	Mr	Mr	Frederick	Hunt	unknown	mr-frederick-hunt	1838 - January 21, 1904	1838	1904	['Marylebone West', 'Maidstone']	[' November 24, 1885 - July 13, 1895', ' July 13, 1895 - March 25, 1898']	1885	1898	unknown	unknown	1885	1898	commons	13
Hunt, George (Mr)	m	Mr	Mr	George	Hunt	unknown	mr-george-hunt	1825 - 1877	1825	1877	['Northamptonshire Northern']	[' December 16, 1857 - July 29, 1877']	1857	1877	unknown	unknown	1857	1877	commons	20
Hunt, Henry (Mr)	m	Mr	Mr	Henry	Hunt	unknown	mr-henry-hunt	November  6, 1773 - February 15, 1835	1773	1835	['Preston']	[' December  7, 1830 - December 10, 1832']	1830	1832	unknown	unknown	1830	1832	commons	2
Hunt, Henry (Mr)	m	Mr	Mr	Henry	Hunt	Lord Hunt July  4, 1966 - November  7, 1998	mr-henry-hunt-1	June 22, 1910 - November  7, 1998	1910	1998	['unknown']	['unknown']	unknown	unknown	1966	1998	1966	1998	lords	unknown
Hunt, Jeremy (Mr)	m	Mr	Mr	Jeremy	Hunt	unknown	mr-jeremy-hunt	November  1, 1966 -	1966	unknown	['Surrey South West']	[' May  5, 2005 - ?']	2005	unknown	unknown	unknown	2005	2005	commons	unknown
Hunt, John (Mr)	m	Mr	Mr	John	Hunt	unknown	mr-john-hunt	October 27, 1929 -	1929	unknown	['Bromley', 'Bromley Ravensbourne', 'Ravensbourne']	[' October 15, 1964 - February 28, 1974', ' February 28, 1974 - June  9, 1983', ' June  9, 1983 - May  1, 1997']	1964	1997	unknown	unknown	1964	1997	commons	33
Hunt, John (Mr)	m	Mr	Mr	John	Hunt	Lord Hunt of Fawley June 25, 1973 - December 28, 1987	mr-john-hunt-2	July  3, 1905 - December 28, 1987	1905	1987	['unknown']	['unknown']	unknown	unknown	1973	1987	1973	1987	lords	unknown
Hunt, John (Mr)	m	Mr	Mr	John	Hunt	Lord Hunt of Tanworth February  8, 1980 - July 17, 2008	mr-john-hunt-1	October 23, 1919 - July 17, 2008	1919	2008	['unknown']	['unknown']	unknown	unknown	1980	2008	1980	2008	lords	unknown
Hunt, Julian (Mr)	m	Mr	Mr	Julian	Hunt	Lord Hunt of Chesterton May  5, 2000 -	mr-julian-hunt	September  5, 1941 -	1941	unknown	['unknown']	['unknown']	unknown	unknown	2000	unknown	2000	2000	lords	unknown
Hunt, Philip (Mr)	m	Mr	Mr	Philip	Hunt	Lord Hunt of Kings Heath October 20, 1997 -	mr-philip-hunt	May 19, 1949 -	1949	unknown	['unknown']	['unknown']	unknown	unknown	1997	unknown	1997	1997	lords	unknown
Hunt, Rowland (Mr)	m	Mr	Mr	Rowland	Hunt	unknown	mr-rowland-hunt	1858 - November 30, 1943	1858	1943	['Ludlow']	[' December 22, 1903 - December 14, 1918']	1903	1918	unknown	unknown	1903	1918	commons	15
Hunter, Adam (Mr)	m	Mr	Mr	Adam	Hunter	unknown	mr-adam-hunter	November 11, 1908 - 1991	1908	1991	['Dunfermline Burghs', 'Dunfermline']	[' October 15, 1964 - February 28, 1974', ' February 28, 1974 - May  3, 1979']	1964	1979	unknown	unknown	1964	1979	commons	15
Hunter, Albert (Mr)	m	Mr	Mr	Albert	Hunter	unknown	mr-albert-hunter	1900 - April  6, 1969	1900	1969	['Feltham']	[' February 23, 1950 - March 31, 1966']	1950	1966	unknown	unknown	1950	1966	commons	16
Hunter, Andrew (Mr)	m	Mr	Mr	Andrew	Hunter	unknown	mr-andrew-hunter	January  8, 1943 -	1943	unknown	['Basingstoke', 'Basingstoke', 'Basingstoke']	[' June  9, 1983 - October  2, 2002', ' October  2, 2002 - December 10, 2004', ' December 10, 2004 - May  5, 2005']	1983	2005	unknown	unknown	1983	2005	commons	22
Hunter, Archibald (General Sir)	m	General Sir	General Sir	Archibald	Hunter	unknown	general-sir-archibald-hunter	1856 - June 28, 1936	1856	1936	['Lancaster']	[' December 14, 1918 - November 15, 1922']	1918	1922	unknown	unknown	1918	1922	commons	4
Hunter, Charles (Sir)	m	Sir	Sir	Charles	Hunter	unknown	sir-charles-hunter	1858 - June 24, 1924	1858	1924	['Bath']	[' January 15, 1910 - December 14, 1918']	1910	1918	unknown	unknown	1910	1918	commons	8
Hunter, Joseph (Dr)	m	Dr	Dr	Joseph	Hunter	unknown	dr-joseph-hunter	1875 - July 24, 1935	1875	1935	['Dumfriesshire']	[' May 30, 1929 - July 24, 1935']	1929	1935	unknown	unknown	1929	1935	commons	6
Hunter, Mark (Mr)	m	Mr	Mr	Mark	Hunter	unknown	mr-mark-hunter	1956 -	1956	unknown	['Cheadle']	[' July 14, 2005 - ?']	2005	unknown	unknown	unknown	2005	2005	commons	unknown
Hunter, Michael (Captain)	m	Captain	Captain	Michael	Hunter	unknown	captain-michael-hunter	1891 - March  9, 1951	1891	1951	['Brigg']	[' October 27, 1931 - November 14, 1935']	1931	1935	unknown	unknown	1931	1935	commons	4
Hunter, Robert (Mr)	m	Mr	Mr	Robert	Hunter	Lord Hunter of Newington July 17, 1978 - March 24, 1994	mr-robert-hunter	July 14, 1915 - March 24, 1994	1915	1994	['unknown']	['unknown']	unknown	unknown	1978	1994	1978	1994	lords	unknown
Hunter, Thomas (Mr)	m	Mr	Mr	Thomas	Hunter	unknown	mr-thomas-hunter	 - March 11, 1932	unknown	1932	['Cork North East']	[' December 14, 1918 - November 15, 1922']	1918	1922	unknown	unknown	1918	1922	commons	4
Hunter, Thomas (Sir)	m	Sir	Sir	Thomas	Hunter	unknown	sir-thomas-hunter	1872 - March 19, 1953	1872	1953	['Perth']	[' November 14, 1935 - July  5, 1945']	1935	1945	unknown	unknown	1935	1945	commons	10
Hunter, William (Mr)	m	Mr	Mr	William	Hunter	unknown	mr-william-hunter-1	1865 - April 10, 1957	1865	1957	['Govan']	[' January 15, 1910 - 1911']	1910	1911	unknown	unknown	1910	1911	commons	1
Hunter, William (Mr)	m	Mr	Mr	William	Hunter	unknown	mr-william-hunter-2	1769 - May 31, 1815	1769	1815	['Ilchester']	[' July  5, 1802 - April  5, 1803']	1802	1803	unknown	unknown	1802	1803	commons	1
Hunter, William (Mr)	m	Mr	Mr	William	Hunter	unknown	mr-william-hunter	1844 - 1898	1844	1898	['Aberdeen North']	[' November 24, 1885 - April 24, 1896']	1885	1896	unknown	unknown	1885	1896	commons	11
Hunter, William (Sir)	m	Sir	Sir	William	Hunter	unknown	sir-william-hunter	1829 - March 14, 1902	1829	1902	['Hackney Central']	[' November 24, 1885 - July  4, 1892']	1885	1892	unknown	unknown	1885	1892	commons	7
Hunter-Blair, James (Mr)	m	Mr	Mr	James	Hunter-Blair	unknown	mr-james-hunter-blair	1780 - June 24, 1822	1780	1822	['Wigtownshire']	[' August  2, 1816 - July 30, 1822']	1816	1822	unknown	unknown	1816	1822	commons	6
Hunter-Weston, Aylmer (Lieut-General Sir)	m	Lieut-General Sir	Lieut-General Sir	Aylmer	Hunter-Weston	unknown	lieut-general-sir-aylmer-hunter-weston	1864 - March 18, 1940	1864	1940	['Ayrshire Northern', 'Bute and Northern']	[' October 11, 1916 - December 14, 1918', ' December 14, 1918 - November 14, 1935']	1916	1935	unknown	unknown	1916	1935	commons	19
Huntingfield,  (Lord)	m	Lord	Lord	None	Huntingfield	5th Baron Huntingfield 1915 - November 20, 1969	lord-huntingfield	1883 - November 20, 1969	1883	1969	['Eye']	[' December  6, 1923 - May 30, 1929']	1923	1929	1915	1969	1915	1969	commons_lords	6
Huntington, Charles (Mr)	m	Mr	Mr	Charles	Huntington	unknown	mr-charles-huntington	1833 - December 23, 1906	1833	1906	['Darwen']	[' July  4, 1892 - July 13, 1895']	1892	1895	unknown	unknown	1892	1895	commons	3
Hurcomb, Cyril (Mr)	m	Mr	Mr	Cyril	Hurcomb	Baron Hurcomb July  5, 1950 - August  7, 1975	mr-cyril-hurcomb	 - August  7, 1975	unknown	1975	['unknown']	['unknown']	unknown	unknown	1950	1975	1950	1975	lords	unknown
Hurd, Anthony (Mr)	m	Mr	Mr	Anthony	Hurd	Baron Hurd 1964 - February 12, 1966	mr-anthony-hurd	May  2, 1901 - February 12, 1966	1901	1966	['Newbury']	[' July  5, 1945 - August 31, 1964']	1945	1964	1964	1966	1945	1966	commons_lords	19
Hurd, Douglas (Hon.)	m	Hon.	Hon.	Douglas	Hurd	Baron Hurd 1997 -	hon-douglas-hurd	March  8, 1930 -	1930	unknown	['Oxon Mid', 'Witney']	[' February 28, 1974 - June  9, 1983', ' June  9, 1983 - May  1, 1997']	1974	1997	1997	unknown	1974	1997	commons_lords	23
Hurd, Nick (Hon.)	m	Hon.	Hon.	Nick	Hurd	unknown	hon-nick-hurd	1962 -	1962	unknown	['Ruislip Northwood']	[' May  5, 2005 - ?']	2005	unknown	unknown	unknown	2005	2005	commons	unknown
Hurd, Percy (Sir)	m	Sir	Sir	Percy	Hurd	unknown	sir-percy-hurd	1864 - June  5, 1950	1864	1950	['Frome', 'Devizes']	[' December 14, 1918 - December  6, 1923', ' October 29, 1924 - July  5, 1945']	1918	1945	unknown	unknown	1918	1945	commons	26
Hurst, Alan (Mr)	m	Mr	Mr	Alan	Hurst	unknown	mr-alan-hurst	September  2, 1945 -	1945	unknown	['Braintree']	[' May  1, 1997 - May  5, 2005']	1997	2005	unknown	unknown	1997	2005	commons	8
Hurst, Gerald (Sir)	m	Sir	Sir	Gerald	Hurst	unknown	sir-gerald-hurst	1877 - October 27, 1957	1877	1957	['Manchester Moss Side', 'Manchester Moss Side']	[' December 14, 1918 - December  6, 1923', ' October 29, 1924 - November 14, 1935']	1918	1935	unknown	unknown	1918	1935	commons	16
Hurst, Robert (Mr)	m	Mr	Mr	Robert	Hurst	unknown	mr-robert-hurst-3	1750 - April 13, 1843	1750	1843	['Shaftesbury', 'Steyning', 'Horsham']	[' July  6, 1802 - October 31, 1806', ' July  9, 1802 - February 15, 1803', ' October  9, 1812 - December 31, 1829']	1802	1829	unknown	unknown	1802	1829	commons	22
Hurst, Robert (Mr)	m	Mr	Mr	Robert	Hurst	unknown	mr-robert-hurst-2	1750 -	1750	unknown	['Steyning']	[' October 30, 1806 - October  8, 1812']	1806	1812	unknown	unknown	1806	1812	commons	6
Hurst, Robert (Mr)	m	Mr	Mr	Robert	Hurst	unknown	mr-robert-hurst	1817 - 1905	1817	1905	['Horsham', 'Horsham']	[' July 11, 1865 - January 31, 1874', ' December 17, 1875 - 1876']	1865	1876	unknown	unknown	1865	1876	commons	10
